soc,physical_level,MET,E_human_J_per_h
11-1011,4.16,3.807,1114994.1600000001
11-1021,4.46,4.0545,1187481.96
11-2011,4.61,4.17825,1223725.86
11-2021,4.4,4.005,1172984.4
11-2022,4.29,3.91425,1146405.54
11-2033,4.14,3.7904999999999998,1110161.64
11-3012,4.15,3.79875,1112577.9000000001
11-3013,3.995,3.670875,1075125.87
11-3021,4.9,4.4175,1293797.4000000001
11-3031,4.403333333333333,4.00775,1173789.8199999998
11-3051,4.301666666666667,3.923875,1149224.51
11-3061,4.37,3.98025,1165735.62
11-3071,4.05,3.7162499999999996,1088415.3
11-3111,4.33,3.94725,1156070.58
11-3121,4.23,3.8647500000000004,1131907.9800000002
11-3131,4.71,4.26075,1247888.46
11-9013,3.09,2.92425,856454.34
11-9021,3.7,3.4274999999999998,1003846.2
11-9031,3.57,3.3202499999999997,972434.82
11-9032,4.12,3.774,1105329.12
11-9033,4.04,3.7079999999999997,1085999.04
11-9041,4.57,4.14525,1214060.82
11-9051,3.26,3.0645,897530.7599999999
11-9071,4.05,3.7162499999999996,1088415.3
11-9072,4.34,3.9555,1158486.8399999999
11-9081,4.27,3.8977499999999994,1141573.0199999998
11-9111,4.56,4.137,1211644.5599999998
11-9121,4.31,3.9307499999999993,1151238.0599999998
11-9131,4.29,3.91425,1146405.54
11-9141,4.2,3.84,1124659.2
11-9151,4.23,3.8647500000000004,1131907.9800000002
11-9161,4.35,3.9637499999999997,1160903.0999999999
11-9171,4.29,3.91425,1146405.54
11-9179,3.9299999999999997,3.6172499999999994,1059420.1799999997
11-9199,4.283333333333333,3.9087499999999995,1144794.6999999997
13-1011,3.7,3.4274999999999998,1003846.2
13-1021,3.61,3.3532499999999996,982099.8599999999
13-1022,4.02,3.6914999999999996,1081166.5199999998
13-1023,4.32,3.939,1153654.32
13-1031,4.68,4.236,1240639.68
13-1032,4.68,4.236,1240639.68
13-1041,4.272857142857143,3.9001071428571428,1142263.38
13-1051,4.57,4.14525,1214060.82
13-1071,4.55,4.12875,1209228.3
13-1074,2.54,2.4705,723560.04
13-1075,3.52,3.279,960353.52
13-1081,4.453333333333333,4.0489999999999995,1185871.1199999999
13-1111,4.29,3.91425,1146405.54
13-1121,4.43,4.02975,1180233.18
13-1131,4.38,3.9884999999999997,1168151.88
13-1141,4.19,3.83175,1122242.9400000002
13-1151,4.04,3.7079999999999997,1085999.04
13-1161,4.720000000000001,4.269,1250304.72
13-1199,4.415,4.0173749999999995,1176608.7899999998
13-2011,4.45,4.046250000000001,1185065.7000000002
13-2022,4.39,3.9967499999999996,1170568.14
13-2023,4.52,4.103999999999999,1201979.5199999998
13-2031,4.48,4.071,1192314.48
13-2041,4.45,4.046250000000001,1185065.7000000002
13-2052,4.62,4.1865,1226142.1199999999
13-2053,4.41,4.013249999999999,1175400.66
13-2061,4.09,3.7492499999999995,1098080.3399999999
13-2071,4.39,3.9967499999999996,1170568.14
13-2072,4.24,3.8729999999999998,1134324.2399999998
13-2081,4.77,4.31025,1262386.0199999998
13-2082,4.67,4.22775,1238223.42
13-2099,4.58,4.153499999999999,1216477.0799999998
15-1211,4.859999999999999,4.384499999999999,1284132.3599999999
15-1212,4.7,4.2524999999999995,1245472.1999999997
15-1221,4.97,4.47525,1310711.22
15-1231,4.95,4.45875,1305878.7
15-1232,4.78,4.3185,1264802.28
15-1241,4.615,4.182375,1224933.99
15-1242,4.83,4.35975,1276883.58
15-1243,4.859999999999999,4.384499999999999,1284132.3599999999
15-1244,4.86,4.3845,1284132.36
15-1251,4.95,4.45875,1305878.7
15-1252,4.61,4.17825,1223725.86
15-1253,4.94,4.4505,1303462.44
15-1254,4.88,4.401,1288964.88
15-1255,4.85,4.37625,1281716.0999999999
15-1299,4.745,4.289625,1256345.37
15-2011,4.68,4.236,1240639.68
15-2021,4.25,3.8812499999999996,1136740.5
15-2031,4.67,4.22775,1238223.42
15-2041,4.800000000000001,4.335000000000001,1269634.8000000003
15-2051,4.6899999999999995,4.244249999999999,1243055.94
15-2099,4.91,4.42575,1296213.6600000001
17-1011,4.67,4.22775,1238223.42
17-1012,4.1,3.7574999999999994,1100496.5999999999
17-1021,4.69,4.24425,1243055.9400000002
17-1022,4.58,4.153499999999999,1216477.0799999998
17-2011,4.88,4.401,1288964.88
17-2021,4.7,4.2524999999999995,1245472.1999999997
17-2031,4.7,4.2524999999999995,1245472.1999999997
17-2041,4.52,4.103999999999999,1201979.5199999998
