OCC_CODE,title_2024,emp_2019,emp_2024,delta_emp_ann,sitting,standing,walking,phys_index,MET,E_human
11-1011,Chief Executives,205890,211850,0.005723603883496242,4.035,2.2199999999999998,1.805,-0.010000000000000453,2.2184557438794723,649741.3182674199
11-1021,General and Operations Managers,2400280,3584420,0.08350619082460398,3.09,2.9,2.53,2.34,2.9929378531073447,876571.6384180791
11-2011,Advertising and Promotions Managers,25100,21100,-0.034123172951782355,4.33,2.11,1.97,-0.2500000000000002,2.1393596986817327,626575.6685499059
11-2021,Marketing Managers,263680,384980,0.07862925603262116,4.36,2.09,1.95,-0.3200000000000005,2.116290018832392,619819.020715631
11-2022,Sales Managers,402600,603710,0.0844035229537865,4.1,2.4,1.85,0.15000000000000036,2.2711864406779663,665185.0847457628
11-3021,Computer and Information Systems Managers,433960,645970,0.08281067761522953,4.58,1.57,1.64,-1.3699999999999999,1.770244821092279,518469.3032015067
11-3031,Financial Managers,654790,818620,0.045673404854174926,4.603333333333333,1.8,1.4233333333333331,-1.3799999999999997,1.766949152542373,517504.06779661024
11-3051,Industrial Production Managers,185790,234380,0.047561775440170706,3.3966666666666665,2.6733333333333333,2.4666666666666663,1.7433333333333332,2.7962962962962963,818979.2592592592
11-3061,Purchasing Managers,72100,81240,0.024157925128398094,4.53,1.84,1.63,-1.0600000000000005,1.8724105461393596,548391.6007532957
11-3071,"Transportation, Storage, and Distribution Managers",132040,213000,0.10036005804985249,3.7750000000000004,2.41,2.15,0.7849999999999997,2.480461393596987,726477.5329566855
11-3111,Compensation and Benefits Managers,16900,20070,0.03498041949477715,4.9,1.81,1.55,-1.5400000000000003,1.7142184557438795,502060.3013182675
11-3121,Human Resources Managers,154800,215520,0.06842323586674004,4.23,2.3,1.91,-0.020000000000000684,2.2151600753295666,648776.0828625235
11-3131,Training and Development Managers,38510,44960,0.031455644413960426,4.39,2.25,1.54,-0.5999999999999996,2.0240112994350286,592792.4293785311
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5060,5910,0.03154313420338117,2.36,3.42,2.87,3.93,3.516949152542373,1030044.0677966101
11-9021,Construction Managers,293380,348330,0.03493261865522501,2.65,3.6,2.95,3.9000000000000004,3.5070621468926553,1027148.3615819209
